repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
holoviz/holoviews,b31f6ba39b91b286ab1ce8480d65d31f2e156f8a,b31f6ba39b,Skip undefined lasso select (#4437),other,Python,Philipp Rudiger,2020-05-27 22:42:45+02:00,22,2,0,1,2,0,1,0,1,11.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,5.5,0
holoviz/holoviews,5deb4a7b7f04f989fcc39bb06e657e8b6dfb4ea2,5deb4a7b7f,"Add support for cupy histograms and box-whisker stats (#4447)  * Add support for cupy histograms  * Implement dask and cupy BoxWhisker stats  * Fixed flakes  * Update holoviews/plotting/bokeh/st",bugfix,Python,Philipp Rudiger,2020-05-31 17:06:47+02:00,17,6,1,0,96,36,3,0,4,22.5,1,keyword_strict,Python,2018-2020,0.4,,2.59,0.0,5.62,0
holoviz/holoviews,3ffe5b470423d16395c5e87fcd8fe046924cabbd,3ffe5b4704,Add ipywidgets and VSCode rendering support (#4404),feature,Python,Philipp Rudiger,2020-06-07 22:35:06+02:00,22,6,1,1,53,18,4,0,8,12.75,0,clean,Python,2018-2020,1.0,,2.79,0.0,2.55,1
holoviz/holoviews,95c91d0d66e8b58d27d6c6ee4d25d06c6e305798,95c91d0d66,Delete toolbar by default before exporting the image  (#4422),other,Python,Alex Braditsas,2020-06-07 22:36:12+02:00,22,6,1,1,6,2,1,0,4,10.5,0,clean,Python,2018-2020,1.0,,2.0,0.0,5.25,0
holoviz/holoviews,f01018dfcb982c6015741acfc070d8143d8f955a,f01018dfcb,"Switch to simple Histogram selections (#4459)  * Switch to simple Histogram selections  * Fixed flake  * Update stream tests",bugfix,Python,Philipp Rudiger,2020-06-08 03:43:03+02:00,3,0,0,1,87,198,5,2,10,7.1,1,keyword_strict,Python,2018-2020,0.4,,0.44,0.33,1.18,1
holoviz/holoviews,98a12aef9638c439896e0ac5130ddde7d0535dd7,98a12aef96,Fix Box rotation (#4460),bugfix,Python,Philipp Rudiger,2020-06-08 04:20:48+02:00,4,0,0,1,3,3,1,0,1,3.0,1,keyword_strict,Python,2018-2020,0.4,,0.75,0.0,1.5,2
holoviz/holoviews,92109b93664e9f4fb120400dfc79d4bad788a6c5,92109b9366,Support datetimes in bokeh RectanglesPlot (#4461),other,Python,Philipp Rudiger,2020-06-08 04:57:13+02:00,4,0,0,1,6,1,1,0,1,3.0,0,clean,Python,2018-2020,1.0,,3.0,0.0,1.5,3
holoviz/holoviews,e1251b2aacec4aa88d8fc6823663368ea5fffaec,e1251b2aac,Add support for declaring kdims as variable kwargs (#4462),feature,Python,Philipp Rudiger,2020-06-08 14:48:42+02:00,14,0,0,0,2,0,1,0,1,18.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,9.0,3
holoviz/holoviews,0572d8d065c53d5de7c5cfbb7677c47befa7761c,0572d8d065,Allow range as color_levels (#4464),other,Python,Philipp Rudiger,2020-06-08 17:13:38+02:00,17,0,0,0,3,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.5,0.0,0.0,3
holoviz/holoviews,8295631cfc53b5cb25827e611b750605c3bcc57e,8295631cfc,flask-dashapp (#2907),other,Unknown,Lela,2020-06-08 17:19:10+02:00,17,0,0,0,185,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,92.5,0.0,0.0,0
holoviz/holoviews,52951e914e37c6b9cf6eefc405f00c1123461cea,52951e914e,"Fix bug computing cross-axis ranges when framewise=True (#4450)  * Fix bug computing cross-axis ranges when framewise=True  * Fix for framewise handling of non-top level ranges  * Fixed and added ",bugfix,Python,Philipp Rudiger,2020-06-09 02:16:44+02:00,2,1,0,1,59,12,6,4,8,20.75,1,keyword_strict,Python,2018-2020,0.4,,4.54,0.57,2.96,3
holoviz/holoviews,bdd4a2da305903d59d9f1794fcaa4e6e88a656c3,bdd4a2da30,Fixes for doc builds,bugfix,Python,Philipp Rudiger,2020-06-09 02:46:01+02:00,2,1,0,1,3,2,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,4
holoviz/holoviews,fb8c4263438b85602c70c6378f60fd15ed47c4e3,fb8c426343,Fix coloring of SideHistogram in bokeh (#4458),bugfix,Python,Philipp Rudiger,2020-06-09 13:19:42+02:00,13,1,0,0,25,13,4,0,4,35.25,1,keyword_strict,Python,2018-2020,0.4,,1.79,0.0,7.05,4
holoviz/holoviews,e926918d7cf61305e38ffa4cfda2539b6ce2b564,e926918d7c,Install matplotlib sample data,other,Unknown,Philipp Rudiger,2020-06-09 18:29:25+02:00,18,1,0,0,1,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,5
holoviz/holoviews,33f153857f4cc2ffae6157ddd654c4bd969117a3,33f153857f,Ensure bokeh is loaded before disabling toolbar in save,other,Python,Philipp Rudiger,2020-06-09 18:29:50+02:00,18,1,0,0,2,2,1,0,1,16.0,0,clean,Python,2018-2020,1.0,,0.67,0.0,8.0,5
holoviz/holoviews,4cd6651c6eb9af862cf758e569f671b7f4fdcbef,4cd6651c6e,"Various fixes along with updates to gallery apps (#4467)  * Update apps  * Various fixes for ranges, throttling and doc builds",bugfix,Python,Philipp Rudiger,2020-06-09 21:10:29+02:00,21,1,0,0,75,65,8,0,13,9.69,1,keyword_strict,Python,2018-2020,0.4,,1.14,0.0,1.08,5
holoviz/holoviews,e50c4829286438b591eeb5c8190292fb4c3e5b8f,e50c482928,"documenting the legend positions and style possibilities (#4465)  * documenting the legend positions and style possibilities  * add more details about which backend supports what",feature,Unknown,Florian LB,2020-06-09 21:19:40+02:00,21,1,0,0,78,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,78.0,0.0,0.0,0
holoviz/holoviews,85aa3e2e3e91e9694b0d189d9a65b990cd1ea9a3,85aa3e2e3e,Fixed dtype issue when checking for ring geometry (#4468),bugfix,Python,Philipp Rudiger,2020-06-09 21:36:32+02:00,21,1,0,0,2,1,1,0,1,5.0,1,keyword_strict,Python,2018-2020,0.4,,1.0,0.0,2.5,6
holoviz/holoviews,4c2cc8a18dc9d2cdcc320e8456b72b9e5fc98eb0,4c2cc8a18d,Fixed bug with clashing legend_field and legend_label (#4469),bugfix,Python,Philipp Rudiger,2020-06-10 01:43:14+02:00,1,2,0,1,3,0,1,0,1,7.0,1,keyword_strict,Python,2018-2020,0.4,,3.0,0.0,3.5,7
holoviz/holoviews,3fa6872bb4339c25d441fa7fe20dca02e9ca22ce,3fa6872bb4,"Update server deployment documentation (#4470)  * Fixed bug with clashing legend_field and legend_label  * Update server deployment docs",bugfix,Python,Philipp Rudiger,2020-06-10 01:43:37+02:00,1,2,0,1,250,103,5,0,3,4.67,1,keyword_strict,Python,2018-2020,0.4,,2.4,0.0,0.78,8
holoviz/holoviews,dd6b70b3e92152117071f02df443364370ffe2c2,dd6b70b3e9,Switch to mpl_sample_data package,other,Unknown,Philipp Rudiger,2020-06-10 02:32:13+02:00,2,2,0,1,2,3,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,0.0,9
holoviz/holoviews,30658726ea0be6ea8df45887bc80a345bb8b6124,30658726ea,Fix doc build dependencies [doc-build],bugfix,Python,Philipp Rudiger,2020-06-10 12:31:26+02:00,12,2,0,0,3,2,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,9
holoviz/holoviews,f4f5061a68517ee476ecd6c1794b77bd7bd7e96d,f4f5061a68,Easily access only non-default options (#4475),other,Python,Philipp Rudiger,2020-06-11 23:19:33+02:00,23,3,0,1,7,5,2,0,3,3.67,0,clean,Python,2018-2020,1.0,,1.17,0.0,1.22,9
holoviz/holoviews,13d56d19467a6939505d54a12651e827e54d2a13,13d56d1946,Allow specifying title for hv.save (#4476),other,Python,Philipp Rudiger,2020-06-12 00:05:56+02:00,0,4,0,1,21,6,2,0,4,14.5,0,clean,Python,2018-2020,1.0,,3.0,0.0,4.83,9
holoviz/holoviews,da8168a9c99373f48968408000b623cdedf1d0a0,da8168a9c9,"v1.13.3 documentation fixes (#4477)  * Minor fixes to legends section  * Fixed shared_axes issue on Bars example  * Pin slightly older version of mpl_sample_data [doc-build]  * Change lasso regi",bugfix,Python,Philipp Rudiger,2020-06-12 13:07:50+02:00,13,4,0,0,9,7,5,0,2,8.0,1,keyword_strict,Python,2018-2020,0.4,,1.12,0.0,1.33,9
holoviz/holoviews,fabfb3e88b6f70ccd1a91f665d9e13a7c54bdd37,fabfb3e88b,Do not update ranges when plot size changes (#4480),other,Python,Philipp Rudiger,2020-06-13 15:51:27+02:00,15,5,1,0,7,0,1,0,1,68.0,0,clean,Python,2018-2020,1.0,,7.0,0.0,34.0,10
holoviz/holoviews,5c52eede5e932bd5c64deb0ee777071141812863,5c52eede5e,"Add ability to skip bokeh events on server (#4478)  * Add ability to skip bokeh events on server  * Minor cleanup",feature,Python,Philipp Rudiger,2020-06-13 18:38:08+02:00,18,5,1,0,33,7,1,0,4,5.25,0,clean,Python,2018-2020,1.0,,4.12,0.0,2.62,10
holoviz/holoviews,0693a07f2af1095bca84be9c9a8a2503d1ded9ab,0693a07f2a,Support linked selections on NdOverlays (#4481),other,Python,Philipp Rudiger,2020-06-14 14:17:22+02:00,14,6,1,0,15,3,1,0,2,8.0,0,clean,Python,2018-2020,1.0,,3.75,0.0,4.0,10
holoviz/holoviews,265259039d434047942dbb298eacad57788ad230,265259039d,Use chain.from_iterable in mpl/plot.py (#4486),other,Python,Ram Rachum,2020-06-22 20:07:31+02:00,20,0,0,0,4,2,1,0,1,14.0,0,clean,Python,2018-2020,1.0,,1.33,0.0,7.0,0
holoviz/holoviews,111f30d7c2f84ebfb6962bf0e4bb459cb3405524,111f30d7c2,pass inline argument to load_nb (#4491),other,Python,ruoyu0088,2020-06-22 20:07:45+02:00,20,0,0,0,1,1,1,0,1,32.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,16.0,0
holoviz/holoviews,18e0fa2e68b7c8b7f90de3efd70fdf266fb99ba2,18e0fa2e68,Use chain.from_iterable in mpl/renderer.py (#4495),other,Python,Ram Rachum,2020-06-23 13:39:06+02:00,13,1,0,0,4,2,1,0,1,7.0,0,clean,Python,2018-2020,1.0,,1.33,0.0,3.5,0
holoviz/holoviews,b45916a4f1aa11680155e5debd92b9d0757a6777,b45916a4f1,Fixed typed array deserialization (#4497),bugfix,Python,Philipp Rudiger,2020-06-23 13:56:33+02:00,13,1,0,0,4,0,1,0,1,18.0,1,keyword_strict,Python,2018-2020,0.4,,4.0,0.0,9.0,10
holoviz/holoviews,59859556b3027b1952f8a2e8a3c78d97a19e58e8,59859556b3,Fixed linked selection with index_cols (#4498),bugfix,Python,Philipp Rudiger,2020-06-23 13:57:13+02:00,13,1,0,0,6,7,1,0,1,2.0,1,keyword_strict,Python,2018-2020,0.4,,0.75,0.0,1.0,11
holoviz/holoviews,621171b59bf619dd9349d51616ee4a1b48d75696,621171b59b,Ensure Violin does not break when category is missing (#4482),other,Python,Philipp Rudiger,2020-06-23 15:01:04+02:00,15,1,0,0,40,19,2,1,4,23.25,0,clean,Python,2018-2020,1.0,,2.0,0.33,7.75,12
holoviz/holoviews,0a8a19c1bf53bdc7089f5f0472f2dd1ad17f1c45,0a8a19c1bf,"Added CHANGELOG and release notes for v1.13.3 (#4479)  * Added CHANGELOG and release notes for v1.13.3  * Updated CHANGELOG  * Add more contributors",feature,Unknown,Philipp Rudiger,2020-06-23 16:15:04+02:00,16,1,0,0,144,3,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,36.0,0.0,0.0,12
holoviz/holoviews,790be8751d1a17ed133071cfdcf18ca18ddb3b3c,790be8751d,Fix the info property to return the info (#4513),bugfix,Python,ruoyu0088,2020-07-09 11:17:48-05:00,11,3,0,0,1,0,1,0,1,7.0,1,keyword_strict,Python,2018-2020,0.4,,1.0,0.0,3.5,0
holoviz/holoviews,ff1ce49dd1df2a1eaf4c6e5b186a1419dae0595b,ff1ce49dd1,make toolbar=True the default in save() (#4518)  * make toolbar=True the default in save()  * fix toolbar parameter for save()  * update releases doc  * Trigger,bugfix,Python,Irv Lustig,2020-07-16 10:36:12+02:00,10,3,0,0,21,5,2,0,3,9.67,1,keyword_strict,Python,2018-2020,0.4,,3.5,0.0,3.22,0
holoviz/holoviews,7c95788c07ede09c8a8e26b4ac4bbfd0dd9a82a9,7c95788c07,Remove special instructions for IPython 5.0  The installation section still contained a paragraph on working around a specific issue in the notebook 5.0. That issue was fixed in 5.1 and the notebook i,bugfix,Unknown,Hans Moritz Günther,2020-07-17 14:04:43-05:00,14,4,0,0,0,20,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.0,0.0,0.0,0
holoviz/holoviews,5aa288c6be9930b9d2bdec23495ec53f35d982d8,5aa288c6be,fix bug when the default value is 0 (#4537)  Use the default value of Dimension if it is not None.,bugfix,Python,ruoyu0088,2020-07-31 22:38:10+02:00,22,4,0,1,1,1,1,0,1,10.0,1,keyword_strict,Python,2018-2020,0.4,,0.5,0.0,5.0,1
holoviz/holoviews,9b149e30db328315b1e66175d39065ba1e7664f8,9b149e30db,"Fix pyenv issues in Travis CI setup (#4540)  * Fix pyenv issues in Travis CI setup  * Pin pyarrow  * Fixed minor pandas issue  * Pin pytest",bugfix,Python,Philipp Rudiger,2020-08-08 22:06:04+02:00,22,5,1,1,12,6,3,0,1,6.0,1,keyword_strict,Python,2018-2020,0.4,,1.71,0.0,1.5,12
holoviz/holoviews,d62211731f22233ecb1503d07d03a70a6e733204,d62211731f,Ensure operations do not recursively accumulate pipelines (#4544),other,Python,Philipp Rudiger,2020-08-08 23:12:35+02:00,23,5,1,1,8,1,1,0,1,11.0,0,clean,Python,2018-2020,1.0,,4.0,0.0,5.5,13
holoviz/holoviews,fbb4bca0b206bc3cfc65229817d2fc30f65980e3,fbb4bca0b2,Optimize options machinery (#4545),other,Python,Philipp Rudiger,2020-08-09 06:08:13+02:00,6,6,1,0,26,19,1,0,4,6.75,0,clean,Python,2018-2020,1.0,,1.3,0.0,3.38,13
holoviz/holoviews,b5b9b05e27b66ca64cb1e8cf6cfb2318ad973f9e,b5b9b05e27,"Set Panel state to busy during callbacks (#4546)  * Set Panel state to busy during callbacks  * Fix for old panel versions",bugfix,Python,Philipp Rudiger,2020-08-09 16:46:06+02:00,16,6,1,0,15,0,1,0,5,5.0,1,keyword_strict,Python,2018-2020,0.4,,15.0,0.0,2.5,13
holoviz/holoviews,f0757252ac8309c65bcf646c07cfe132765b212b,f0757252ac,Add new Derived stream class (#4532)  * Add new Derived stream class  that generalizes the concept of having a stream that produces values based on one or more other streams. Update SelectionExpr stre,bugfix,Python,Jon Mease,2020-08-10 23:31:18+02:00,23,0,0,1,272,78,4,2,36,2.11,1,keyword_strict,Python,2018-2020,0.4,,3.44,0.4,0.42,0
holoviz/holoviews,f1e225d67c7277054148ed90122b2a428451745d,f1e225d67c,"Support positional stream args in DynamicMap callback (#4534)  * Add positional_stream_args option to DynamicMap to accept stream values as positional arg dictionaries in DynamicMap callbacks.  * A",bugfix,Python,Jon Mease,2020-08-14 14:17:22+02:00,14,4,0,0,105,13,3,1,15,6.53,1,keyword_strict,Python,2018-2020,0.4,,7.5,0.25,1.63,1
holoviz/holoviews,3d07924ac67ec1f5a94f4bae61fd8d4f4135288e,3d07924ac6,Fixed whiskers for box-whisker so that they never point inwards. (#4548),bugfix,Python,Justin Bois,2020-08-14 18:25:58+02:00,18,4,0,0,2,2,1,0,1,7.0,1,keyword_strict,Python,2018-2020,0.4,,0.67,0.0,3.5,0
holoviz/holoviews,89be3069a48f6dc311e70ee97f9e180635302ac4,89be3069a4,Updated spreading operation to support aggregate arrays (#4562),other,Python,Jean-Luc Stevens,2020-08-21 05:46:45-05:00,5,4,0,1,4,3,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,0
