repo,commit_sha,committed_at,commit_message,commit_type,language,lines_added,lines_deleted,files_changed,test_files_changed,doc_files_changed,has_tests,cyclomatic_complexity,total_diff_hunks,commit_hour,day_of_week,is_weekend,is_night_commit,num_reviewers,review_comments,time_to_review_hours,test_coverage_pct,developer_experience,prior_bugs_author,churn_ratio,scatter_score,complexity_per_file,is_buggy
django/django,7dc826b975,2025-09-24T18:02:06Z,Fixed #33113 -- Documented usage and caveats of HTML5 date input in DateInput widget.,bugfix,Unknown,23,0,1,0,1,0,8,23,18,2,0,0,2,3,2.5,0.0,1.1,0,23.0,0.0417,4.0,1
django/django,cec10f992b,2025-10-31T08:00:41Z,"Fixed #20024 -- Fixed handling of __in lookups with None in exclude().  Thanks Simon Charette and Tim Graham for reviews, and Jason Hall for a prior iteration.",bugfix,Python,29,14,3,2,0,1,14,43,8,4,0,0,0,6,25.4,66.7,5.9,1,1.93,0.1,3.5,1
django/django,3fb37ef411,2025-11-12T14:06:58Z,Refs #20024 -- Tested __in lookups with None against composite pk fields.,test,Python,16,0,1,1,0,1,5,16,14,2,0,0,0,0,7.7,100.0,6.5,2,16.0,0.0588,2.5,0
django/django,edd8997868,2025-11-22T06:35:35Z,Fixed #29762 -- Doc'd how database routers fetch related objects.  Thanks James Bligh for the review.  Co-authored-by: Jacob Walls <jacobtylerwalls@gmail.com>,bugfix,Unknown,6,0,1,0,1,0,2,6,6,5,1,0,2,4,13.7,0.0,8.2,2,6.0,0.1429,1.0,1
django/django,1a8fd5cf75,2025-11-22T18:32:34Z,Fixed #36727 -- Deprecated Field.get_placeholder in favor of get_placeholder_sql.  The lack of ability of the get_placeholder call chain to return SQL and parameters separated so they can be mogrified,bugfix,Python,181,77,17,2,2,1,86,258,18,5,1,0,2,4,0.6,11.8,4.5,3,2.32,0.0934,4.78,1
django/django,3157285e27,2025-11-26T08:36:20Z,Fixed #27150 -- Made base File objects truthy by default.,bugfix,Python,18,5,5,1,1,1,7,23,8,2,0,0,0,0,0.7,20.0,1.0,4,3.0,0.2632,1.17,1
django/django,37284896f0,2026-01-06T23:32:34Z,Refs #470 -- Fixed further field_defaults test failures due to year-end boundary conditions.  Follow-up to 352d860b9107adbcde0f1fe5d0fce8e9090a51e4.  Overriding USE_TZ=True during a test creates drift,bugfix,Python,4,7,1,1,0,1,3,11,23,1,0,1,1,3,30.4,100.0,9.5,5,0.5,0.2,1.5,1
django/django,0ed8d4e7d1,2026-01-12T13:51:32Z,Fixed #36859 -- Made assertContains and assertNotContains idempotent for streaming responses.,bugfix,Python,19,2,3,2,1,1,7,21,13,0,0,0,2,5,12.1,66.7,2.6,6,6.33,0.15,1.75,1
django/django,09f27cc373,2026-01-13T14:51:50Z,"Refs #35440 -- Optimized parse_header_parameters() for the simplest case.  Added a fast-path to parse_header_parameters Benchmark results (50,000 iterations): - Simple headers: ~73% improvement  Thank",feature,Python,4,0,1,0,0,0,1,4,14,1,0,0,1,0,10.8,0.0,3.6,7,4.0,0.2,0.5,0
django/django,caf90a971f,2026-01-22T22:01:46Z,Fixed CVE-2026-3902 -- Ignored headers with underscores in ASGIRequest.  Thanks Tarek Nakkouch for the report and Jake Howard and Natalia Bidart for reviews.,bugfix,Python,78,1,6,2,3,1,27,79,22,3,0,1,0,7,10.0,33.3,5.2,7,39.0,0.0759,3.86,1
django/django,f05fac88c4,2026-02-01T21:53:54Z,Fixed #36795 -- Enforced quoting of all database object names.  This ensures all database identifiers are quoted independently of their orign and most importantly that user provided aliases through an,bugfix,Python,44,50,8,3,1,1,30,94,21,6,1,0,2,6,32.9,37.5,7.3,8,0.86,0.1778,3.33,1
django/django,5146449a38,2026-02-01T22:02:49Z,Refs #36795 -- Removed unnecessary prohibits_dollar_signs_in_column_aliases feature flag.  Now that user provided aliases are systematically quoted there is no need to disallow the usage of the dollar,feature,Python,3,19,4,1,1,1,6,22,22,6,1,1,1,7,3.5,25.0,5.0,9,0.15,1.0,1.2,0
django/django,8401071c52,2026-02-08T20:46:54Z,Fixed #36904 -- Clarified how to hide form field labels in docs.,bugfix,Unknown,3,2,1,0,1,0,1,5,20,6,1,0,2,6,5.4,0.0,4.7,9,1.0,0.25,0.5,1
django/django,f2169ef368,2026-02-10T01:57:37Z,Refs #36883 -- Split monolithic aggregation/lookup/queries tests.,test,Python,80,33,4,4,0,1,37,113,1,1,0,1,0,2,12.6,100.0,1.1,10,2.35,0.0494,7.4,0
django/django,2333d56696,2026-02-12T14:33:25Z,"Fixed #36894 -- Added TypeError for conflicting arguments in mail APIs.  A TypeError is now raised if fail_silently=True, auth_user, or auth_password are provided along a connection.  Updated AdminEma",bugfix,Python,177,9,7,1,2,1,64,186,14,3,0,0,2,6,27.3,14.3,7.6,10,17.7,0.0393,8.0,1
django/django,e779bc7d78,2026-02-13T22:52:07Z,Fixed #36927 -- Optimized Field.deconstruct().,bugfix,Python,64,59,1,0,0,0,40,123,22,4,0,1,2,6,0.2,0.0,8.4,11,1.07,0.0154,20.0,1
django/django,ba4751e0ca,2026-02-23T03:16:34Z,Fixed #36939 -- Avoided weakref.finalize in Signal.connect().  Replaced weak receiver registration in Signal.connect() to pass _flag_dead_receivers directly as the callback for weakref.ref() and weakr,bugfix,Python,1,4,1,0,0,0,1,5,3,0,0,1,1,7,4.2,0.0,3.6,12,0.2,0.5,0.5,1
django/django,2d7f899deb,2026-02-28T05:36:04Z,Fixed #36958 -- Reloaded logging config when logging settings are changed in tests.  Thanks JaeHyuck Sa and Jake Howard for the reviews.,bugfix,Python,50,0,2,2,0,1,17,50,5,5,1,1,2,4,0.5,100.0,4.8,13,50.0,0.0392,5.67,1
django/django,7e9885f99c,2026-03-05T17:41:44Z,Fixed CVE-2026-33033 -- Mitigated potential DoS in MultiPartParser.  When a multipart file part used `Content-Transfer-Encoding: base64` and the non-whitespace base64 bytes did not align to a multiple,bugfix,Python,100,6,5,1,3,1,36,106,17,3,0,0,0,6,17.9,20.0,8.6,14,14.29,0.0495,6.0,1
django/django,3abf898879,2026-03-09T13:50:44Z,Combined scripts confirm_release.sh and test_new_version.sh into verify_release.sh.  This reuses the same download for both artifacts and checks both GPG signature and minimal correctness in the same ,feature,Python,100,119,5,1,1,1,70,219,13,0,0,0,0,7,1.2,20.0,2.2,15,0.83,0.0495,11.67,0
django/django,d43bd466e9,2026-03-10T05:46:32Z,Refs #36727 -- Factored out _must_transform_value() in BaseSpatialOperations.,other,Python,6,6,1,0,0,0,3,12,5,1,0,1,1,7,17.3,0.0,10.0,15,0.86,0.1429,1.5,0
